position	post_id	post_by	post_text	post_published	comment_id	comment_by	is_reply	comment_message	comment_published	comment_like_count
0_0	125980744110410_1192084267500047	f35c2a028b31ea36b0e1b207a44673653fb921f9	Quero levar Educação de qualidade  com esporte  cultura e lazer para mais regiões de São Paulo. Quando fui prefeita  já comecei esse trabalho ao construir 21 CEUs e deixar outros 24 projetados. Agora  vou entregar 14 novas unidades por toda cidade. #Marta15 #CoragemPraMudar	2016-08-31T19:02:51+0000	1192084267500047_1194032403971900	pageowner	1	Essa é uma reclamação que estou ouvindo muito, Rose. Os CEUs deveriam funcionar efetivamente, da maneira como foram planejados em minha gestão. São lugares que deveriam trazer cultuira, esporte e lazer para as pessoas. A prefeitura atual não está dando o apoio necessário e isso precisa mudar.	2016-09-02T15:40:19+0000	1
0_1	125980744110410_1192084267500047	f35c2a028b31ea36b0e1b207a44673653fb921f9	Quero levar Educação de qualidade  com esporte  cultura e lazer para mais regiões de São Paulo. Quando fui prefeita  já comecei esse trabalho ao construir 21 CEUs e deixar outros 24 projetados. Agora  vou entregar 14 novas unidades por toda cidade. #Marta15 #CoragemPraMudar	2016-08-31T19:02:51+0000	1192084267500047_1194042857304188	fe65f0258cb698e722527561c32714315df20f6a	1	Muito obrigada pela atençao. O Ceu é essencial à população de baixa renda. Ou renda 0.	2016-09-02T15:53:44+0000	1
0_2	125980744110410_1192084267500047	f35c2a028b31ea36b0e1b207a44673653fb921f9	Quero levar Educação de qualidade  com esporte  cultura e lazer para mais regiões de São Paulo. Quando fui prefeita  já comecei esse trabalho ao construir 21 CEUs e deixar outros 24 projetados. Agora  vou entregar 14 novas unidades por toda cidade. #Marta15 #CoragemPraMudar	2016-08-31T19:02:51+0000	1192084267500047_1194043373970803	fe65f0258cb698e722527561c32714315df20f6a	1	A única opção aliás.	2016-09-02T15:54:33+0000	0
0_3	125980744110410_1192084267500047	f35c2a028b31ea36b0e1b207a44673653fb921f9	Quero levar Educação de qualidade  com esporte  cultura e lazer para mais regiões de São Paulo. Quando fui prefeita  já comecei esse trabalho ao construir 21 CEUs e deixar outros 24 projetados. Agora  vou entregar 14 novas unidades por toda cidade. #Marta15 #CoragemPraMudar	2016-08-31T19:02:51+0000	1192084267500047_1193847130657094	fe65f0258cb698e722527561c32714315df20f6a	0	OK. E quantos funcionam? Tem voltado em algum deles? Eu estive em 3 este ano. Sem atividade. Help!	2016-09-02T12:17:12+0000	0
0_4	125980744110410_1192084267500047	f35c2a028b31ea36b0e1b207a44673653fb921f9	Quero levar Educação de qualidade  com esporte  cultura e lazer para mais regiões de São Paulo. Quando fui prefeita  já comecei esse trabalho ao construir 21 CEUs e deixar outros 24 projetados. Agora  vou entregar 14 novas unidades por toda cidade. #Marta15 #CoragemPraMudar	2016-08-31T19:02:51+0000	1192084267500047_1193906403984500	9d673cb4e9aee30eb304194b22c6e4cf48aef46f	0	Essa mulher fez bastante coisa mesmo independente de qual partido marta fez muita coisa sim .ela errou em algumas coisas mas precisa de ter caráter de assumir o erro e isso ela assumiu eu voto #15	2016-09-02T13:32:25+0000	1
0_5	125980744110410_1192084267500047	f35c2a028b31ea36b0e1b207a44673653fb921f9	Quero levar Educação de qualidade  com esporte  cultura e lazer para mais regiões de São Paulo. Quando fui prefeita  já comecei esse trabalho ao construir 21 CEUs e deixar outros 24 projetados. Agora  vou entregar 14 novas unidades por toda cidade. #Marta15 #CoragemPraMudar	2016-08-31T19:02:51+0000	1192084267500047_1192086427499831	995c5dd8942c4d5ca634481d48a9ae44b9f95183	0	porque CÉUS de verdade, só com Marta!...os outros fazem alguns predinhos e chamam de territorio céu!...estou cansado de marketing barato!	2016-08-31T19:05:44+0000	5
0_6	125980744110410_1192084267500047	f35c2a028b31ea36b0e1b207a44673653fb921f9	Quero levar Educação de qualidade  com esporte  cultura e lazer para mais regiões de São Paulo. Quando fui prefeita  já comecei esse trabalho ao construir 21 CEUs e deixar outros 24 projetados. Agora  vou entregar 14 novas unidades por toda cidade. #Marta15 #CoragemPraMudar	2016-08-31T19:02:51+0000	1192084267500047_1192569064118234	62a70f254346f517f34bcdcb8fc4c5756f2d7088	0	Marta fez mais com menos, #MartaNeles	2016-09-01T06:20:10+0000	3
0_7	125980744110410_1192084267500047	f35c2a028b31ea36b0e1b207a44673653fb921f9	Quero levar Educação de qualidade  com esporte  cultura e lazer para mais regiões de São Paulo. Quando fui prefeita  já comecei esse trabalho ao construir 21 CEUs e deixar outros 24 projetados. Agora  vou entregar 14 novas unidades por toda cidade. #Marta15 #CoragemPraMudar	2016-08-31T19:02:51+0000	1192084267500047_1192864020755405	596e6f58445100806f6ce82bf0eee54f6341aacc	0	#EducaçãoEvolução é com #Marta15	2016-09-01T13:33:12+0000	2
0_8	125980744110410_1192084267500047	f35c2a028b31ea36b0e1b207a44673653fb921f9	Quero levar Educação de qualidade  com esporte  cultura e lazer para mais regiões de São Paulo. Quando fui prefeita  já comecei esse trabalho ao construir 21 CEUs e deixar outros 24 projetados. Agora  vou entregar 14 novas unidades por toda cidade. #Marta15 #CoragemPraMudar	2016-08-31T19:02:51+0000	1192084267500047_1192133720828435	df86c57e062ccd0dd9c38da89a3efbcad8e4664a	0	#TeamMarta	2016-08-31T19:51:27+0000	2
0_9	125980744110410_1192084267500047	f35c2a028b31ea36b0e1b207a44673653fb921f9	Quero levar Educação de qualidade  com esporte  cultura e lazer para mais regiões de São Paulo. Quando fui prefeita  já comecei esse trabalho ao construir 21 CEUs e deixar outros 24 projetados. Agora  vou entregar 14 novas unidades por toda cidade. #Marta15 #CoragemPraMudar	2016-08-31T19:02:51+0000	1192084267500047_1192089010832906	b061717f2ca8c78478b514fbf75b4390583db1a5	0	#PrefeitaPerfeita pra SP!	2016-08-31T19:09:33+0000	3
